text,label
"Eu estava com uma super expectativa para lê-lo, porém que livro chato e repetitivo, a introdução é imensa, não consegui nem ler o segundo capítulo.",-1
"É muito longo e muito chato. Descrições extensas, algumas bem desnecessárias e tudo termina muito magicamente.",-1
Não consegui ver nessa obra aquela história magnífica que muitos rendem inúmeros elogios.,-1
"As páginas vieram enrugadas!! Parece até que molhou e secou, embora tenha chegado plastificado. Horrível",-1
"O livro tem uma ótima linguagem e aborda temas que nos levam a uma reflexão, sobre o nosso comportamento em uma sociedade cada vez mais hipócrita em que a ética e os bons costumes estão cada vez mais sendo esquecidos. ",1
O autor transforma a clássica história de Machado de Assis em uma versão acessível para o público infanto juvenil não familiarizado com a rebuscada linguagem machadiana.,1
"É um quadrinho muito top. Antes de ler, eu já tinha assistido o filme, mas depois que eu li, eu gostei muito mais da hq, porque traz muitos detalhes que não tem ou passam imperceptíveis no filme. ",1
"Achava que iria achar ele bem chatinho, mas quando comecei gostei muito.",1
"Não gostei do livro , muita propaganda e pouco conteúdo",-1
Não terminei de ler por que a história não estava me agradando e a linguagem criada para o livro confunde muito. ,-1
"Ele trabalha muito bem em cima dos personagens apresentados, todos com uma personalidade bem construída, o que deixa a história ainda mais intensa e viciante.",1
“Não existe uma única página neste livro de estreia que não prove que John Fowles é um mestre contador de histórias.” (The New York Times),1
"Uma boa pedida para quem curte crônicas curtas, que tratam de coisas do cotidiano com bom humor, inteligência e deixa um gostinho de ""quero mais"".",1
"História clichê, recheada de coisas impossíveis até em o mundo de o maravilhoso, escrita péssima, personagens mal-construídos e alienados. ",-1
"Só li por causa do colégio, muito sem sal.",-1
São poucas as páginas com conteúdo de verdade.,-1
"Esse livro é surpreendente, é daqueles que quanto mais você lê mais vontade tem. É cheio de suspenses e surpresas e o mais legal é que a história é voltada a uma dura realidade que é a desvalorização dos índios e o desprezo pela natureza.",1
"""O Símbolo Perdido"" foi uma leitura deliciosa, cheia de reviravoltas e que consegue deixar o leitor entretido o tempo todo. Vale muito a pena a leitura, mesmo que não seja incrível como seus anteriores.",1
"E horrivel simplesmente, nao dar pra chamar de escritor esse autor.",-1
Acho que este livro não merece nem mesmo uma estrela.,-1
"Esperava algo mais policial e sangrento, mas o que tive foram vários episódios de romance deslavado ou de certo modo clichê.",-1
Meu primeiro livro e foi uma experiência incrível! Esse livro deixou uma marca na minha alma!,1
"Apesar de tudo, não achei o livro tão bom como tanto falam, minha expectativa foi muito maior e não é um livro tão incrível assim.",-1
"Resolvi ler esse livro após muitas indicações porém, infelizmente, foi uma leitura que considero nada empolgante, enfadonha, resumindo, detestei.",-1
"Os momentos são, sim, bem imprevisíveis, temos umas sacadas bem interessantes, mas o sentimentalismo enfiado não cai legal.",-1
"Não parece haver nenhuma preocupação estética, não há beleza, não há estilo; o livro tenta te “pegar” unicamente pelo suspense (infelizmente uma coisa comum nos best sellers atuais).",-1
"Entendo a crítica social e tal. Mas a história é muito entendiante não acontece nada muito interessante na história e, para piorar a escrita do autor é muito maçante.",-1
Não tenho palavras para explicar o quanto eu amei a experiência de ler finale e todo hush hush. Vou guardar essa história comigo para sempre.,1
Não recomendo esse livro!,-1
"Lombada desgastada na estremidade superior e inferior, páginas com orelhas com um corte, como se fosse erro da editora.",-1
"O defeito não aparece nas primeiras páginas, mas depois fica impossível de ler",-1
"Não desmerecendo o livro, foi o que menos gostei da coleção dos Karas. A leitura é fácil, tem ação e aventura, mas nada dele me chamou a atenção em especial.",-1
"Achei que ou o autor se preocupou apenas em narrar a história ou eu, realmente, não peguei a essência do livro.",-1
"O começo do livro foi bom, não vou mentir, talvez as primeiras 80/90 páginas tenham sido legais, mas depois ele começa a enrolar muito, com vários capítulos só pra encher linguiça.",-1
"Infelizmente, se você vai investir mais num livro ou simplesmente tem apreço pelo que compra, talvez esse não seja o melhor estabelecimento.",-1
"Não gostei principalmente da narrativa do livro e como a historia se desenrola, apesar de reconhecer que o livro é bem escrito e que na minha visão o autor provavelmente pensou o livro e o executou com maestria exatamente da maneira que foi idealizado .",-1
"Ele mostra de forma clara, simples e divertida os pensamentos, conflitos e dilemas de um adolescente aparentemente revoltado com o mundo, todas as suas qualidades e defeitos.",1
"Final maravilhoso e surpreendente! A autora trabalhou bem cada detalhe do livro, não ficou nada a deseja, tudo no encaixe perfeito.",1
Ransom Riggs é definitivamente o autor que poderia escrever uma lista de compras que eu compraria e leria feliz,1
"Não é a melhor obra de o grande Sidney Sheldon, mas recomendo, uma boa leitura pra passar o tempo.",1
"O livro traz histórias, mitos, que refletem a condição da mulher em diversas situações da vida. É muito interessante a análise que a autora faz de cada história, das personagens, mas as histórias em si são interessantes e induzem quem as lê a fazer sua própria análise, do mito e de como ele se encaixa na sua vida. Muito bom!",1
"Não tem como não se apaixonar por essa obra de horror com muito suspense. Com certeza, um dos melhores livros que já li na vida.",1
"Aquele livro que todas as mulheres deveria ler. Aprendendo com a Clarissa em cada página. A importância da mulher, no mundo.",1
"A leitura é muito envolvente, logo nos primeiros capítulos eu me vi presa nos relatos de Brás Cubas. A forma como ele fala da vida, e também cheia de reflexões sobre.",1
"A grande força do texto, sem dúvida, está na linguagem que é expressiva e original, repleta de neologismos muito inteligentes.",1
"A história teve um desfecho muito rápido, como já era de se esperar pelo número reduzido de páginas do livro, e mesmo tendo sido meio clichê em alguns pontos",-1
"Personagens secundários que não se desenvolvem nunca, metáforas cansativas e totalmente sem nexo. ",-1
É um livro que quero ter na minha estante para meus filhos ler no futuro.,1
"O enredo foi muito previsível ,o que tirou minha vontade de ler o próximo livro.",-1
"No entanto, é na história que a obra peca. Primeiramente, nos diversos clichês. Talvez tenha sido a intenção do autor, mas, para mim, não foi possível absorver as ideias com um mínimo de naturalidade.",-1
"Caixa de Pássaros é um thriller psicológico bem elaborado e cheio de alma, um bom livro para quem é amante do suspense.",1
