text,label
“Eu quero almoçar na companhia de @user”255,1
muuuuitoo lindo o depoimento que eu recebi do meu amoor *-*,1
tonyhawk o lendário do skate!,1
A Lady Gaga #queimouseufilme ao ir vestida de bife no MTV Awards sendo que existe um monte de gente que ainda passa fome no mundo.,-1
Paris Hilton tem dinheiro mas é pobre de  muitas coisas...,-1
Steam recebe a versão errada de Dead Island dos desenvolvedores:  Faltando poucos dias para o lançamento de Dea... ~http,-1
Sonheei com o garoto que eu gosto ; Nossa que emoçãao --',1
Estive lendo twittes aqui... Só rindo; e ALTO...,1
assistindo planeta dos macacos. Kkkk filminho bobo --',-1
ahhhhh eu tenho q espera o nintendo carrega mais eu nao consigo =/,-1
Eras o samsung galaxy tab e muito lerdo para twitar,-1
Usei o SH-RH como creme de hidratação. Amei o resultado vale muito a pena gastar um pouquinho mais,1
saaaaaindo aqui meus amores . indo pro banhojinho ; beeijos . &lt;3,1
É triste ver o que a Sony tem feito com o nome do Michael. Em maio teremos um novo CD Póstumo do rei do pop. Deixem-no morrer!,-1
Eu gostei de um vídeo do YouTube -- Grandes Vlogs - Fada do Dente ~http ,1
Saindo Aqui Amores Da Minha Vida Razão Da Minha Existência !!...,1
Vou ter que usar o sony ericsson lixo ou o da claro mais lixo ainda ¬,-1
aguardando resposta da Sony Music..... vamos torcer!!!!!! para ser o site oficial do MWS no Brasil,1
Muito Bom ^^ @user ótimo! Adidas faz vídeos interativos em nova campanha: ~http ,1
Paris Hilton com a mesma cara em todas as fotos? então ela é uma boneca de cera? achei q a cara dela fosse é de pau...,-1
AINDA NÃO ACABOU.,-1
"""Passamos a amar não quando encontramos uma pessoa perfeita; mas quando aprendemos a ver perfeitamente uma pessoa imperfeita.""",1
"O bing é um ""buscador""?? A única coisa que ele acha é o Google!!!",-1
Odeio quando a Sony fica com a legenda atrasada; odeio quando a Sony fica SEM legenda; mas ficar tudo preto é de foder!,-1
A microsoft se supera... Wins 7 é melhor que o Vista mas PIOR QUE O XP??? #QuemExplica ?,-1
Marquinho Manda uma camisa pra mim :D (@OficialFlu live on ~http ),1
Caraca incadritável como as previsões do meu horoscopo pra esse ano estão batendo certinho!,1
BONCHI BONCHI BOM BOM BOM... kkkk #momentoretardada,1
Uma das melhores e mais inspiradoras propagandas que já vi. Adidas All in =) ~http,1
A falta de tweets do @user é um espanto.,-1
A iniciativa do @user em reeducar os hábitos alimentares nos Eua são plausiveis! Apoiado!,1
Acabo de descobrir um dos melhores sites sobre Nintendo do país: @user  Sensacional!!!,1
twitter perdendo a graça -q,-1
Consegui... Ela penso em mim UASHUASHUASHAUHAS,1
