text,label
O  coronavírus vai ficar doidão !!! kkkkEssa é para fechar a semana kkkkk. Novo estudo reforça possível eficácia da cannabis no tratamento do coronavírus https://t.co/8Ia0k4p2ER,1.0
"@davialcolumbredemagogia é se fazer de preocupado com o bem do povo e não abrir mão da mamata eleitoral!esse dinheiro é do povo e não de vocês, canalhas!faça numa pesquisa e veja se o povo tá afim de patrocinar essa mamata!seja homem !https://t.co/cggevbwi2l",-1.0
"@helobrasileira @adrianosavix @edermauropa @denisesangoi @vlogdolisboa @vlogdolisboanew 😤 em fortaleza a construção de um hospital temporário no estádio presidente vargas com gasto de 💰80 milhões, para eventuais pacientes de coronavírus. obs: e não investe no novo hospital que já existe com 200 leitos e fechado. que país é esse😤 https://t.co/yvvhlxty52",-1.0
estudo avalia o quanto o novo coronavírus deverá persistir na população humana após o estágio inicial da pandemiahttps://t.co/g6xih3pbus,1.0
"nesses tempos difíceis, vamos praticar mais a generosidade? a @cureamarina precisa de vc! #covid19 #coronavirus #generosidade #cureamarina #ajuda #zolgensma #atrofiamuscularespinhal",1.0
"o uso de máscara caseira pode evitar a contaminação pelo novo coronavírus entre pessoas próximas assintomáticas e pré-sintomáticas, pois oferece uma barreira contra a contaminação por gotículas, desde que associado a medidas de prevenção.segue o fio!",1.0
"a pandemia do coronavírus é uma situação de grande dificuldade e por isso exige o comprometimento de todos nós. em coletiva, o governador @jdoriajr ressaltou a importância de obedecer às recomendações de isolamento social dada por especialistas. é hora de proteger quem amamos. https://t.co/6hg6m7fswy",1.0
"Arraste para o lado e confira algumas dicas de como manter-se seguro em relação ao coronavírus. São ações pequenas, mas que fazem toda a diferença! https://t.co/tlAPlhsuXU",1.0
"pela primeira vez, o brasil ultrapassou duzentas mortes por coronavírus em apenas 24 horas. esse número ainda não é o topo da curva e irá piorar. se puder, fique em casa. você pode impedir a propagação desse vírus.#fiqueemcasa",-1.0
os cientistas dos eua disseram a casa branca que não há indicação que a infecção por coronavírus gere anticorpos . por isso a única solução para esta pandemia é a quarentena com separação e isolamento social enquanto não se descobre uma vacina !https://t.co/od3ik9uehh,1.0
🌟 maranhão não registra mortes por coronavírus pela primeira vez em 12 dias https://t.co/dcn0tnmaaq,-1.0
"Vamos salvar a economia, que covid-19 que nada... é só uma gripezinha. https://t.co/Gbh9s5Uqno",-1.0
"será que o sertanejo descobriu a existência dessa tal vacina numa mensagem do wpp, ou será que foi uma corrente no orkut?#maislidashttps://t.co/dhizakonoq",1.0
mulheres na liderança são o diferencial dos países com as melhores respostas ao coronavírus - https://t.co/qdwdfnyyvk,1.0
"O Programa Pró-Brasil tem o objetivo de integrar ações para a retomada do crescimento após a pandemia do Covid-19, gerando emprego e recuperando a estrutura do país. 🇧🇷'",1.0
"por quê @lhmandetta, não divulga a quantidade dos que foram curados do coronavírus? https://t.co/egosjbwsdl",1.0
ao vivo no gaúcha atualidade: historiadora lilia schwarcz avalia que a pandemia de coronavírus marca o fim do século 20 e fala sobre o momento atual na história https://t.co/2gg71bzgo8#rádiogaúcha https://t.co/tmjot3gct7,1.0
"#coronavírus: em araraquara (sp), uma mulher foi presa por descumprir decreto que proibia uso de parques e praças. ""esse cirquinho de coronavírus que armaram para implantar uma ditadura comunista"", disse ela, antes de ser detida https://t.co/qxn65nr40u",-1.0
pra hoje eu vou querer um namoradinho &amp; a vacina do coronavírus 🙏😔,1.0
O Auxílio Emergencial Estudantil e a Redução das Mensalidades é uma importante proposta para minimizar os efeitos da pandemia do Coronavírus e diminuir os índices de evasão do ensino superior brasileiro #AprovaAuxilioEstudantil #ReduzMensalidades'},1.0
mp vai apurar por que funai não usou recursos contra coronavírus / r7. https://t.co/0jhntiu0x3,-1.0
"@edsonsalomaomc espalham notícias falsas e querem o caos no brasil isto é outro vírus, o vírus da esquerdopatia, mata tanto, quanto o coronavirus.",-1.0
atuação presente na comissão externa que debate ações preventivas ao coronavírus. https://t.co/ivsprgodxo,1.0
"o papel do presidente donald trump, que demorou a reconhecer a gravidade do #coronavírus, foi decisivo para a tragédia. e anotem: quando a curva começar a baixar nos estados unidos, tem um certo país tropical com grande potencial para ser o novo epicentro da pandemia.",-1.0
