text,label
"muito bom , Jorge Amado estava inspirado a o escrever a história de esse meninos de rua , crítico em a medida certa e bem interessante ...",1
o que eu achei bacana foi o comportamento de os personagens antes de a cegueira e depois em o que eles se tornaram .,1
A verdade é que poucos livros capturaram minha atenção de uma forma tão intensa .,1
Impossivel perder uma leitura como esta .,1
Sem querer ofender os fas de Crepusculo e meio agua com acuca,-1
Leiam !,1
"Enfim se eu fosse indicar um livro , com certeza seria este "" Capitães de a areia "" , um livro que irá proporcionar uma leitura agradável , realista e que com certeza irá ajuda a ampliar sua visão sobre o que acontece em os dias atuais e a tornar - se mais crítico .",1
"Adorei sua trama , as vinganças , os planos bem elaborados , as reviravoltas , os dramas .",1
"Mt bobo , indicado pra adolescentes e só .",-1
E como o faz maravilhosamente bem !,1
"Alguns livros são apenas lidos e são brevemente esquecidos , outros , são lidos e A as vezes lembrados por oferecerem diferentes pontos de vista e novas perspectivas para nossas vidas , e , existem livros que MUDAM A SUA VIDA .",1
"As ' aventuras ' que teve em o caminho de casa , foram até interessante , foi o que movimentou o livro , mas sua raiva extrema , foi quase que insuportável .",-1
"Excelente livro , escrito por um excelente escritor .",1
Fui ler por ser fanático por vampiros e me arrependi .,-1
Gostei muito,1
"um livro forte e muito bom , uma critica forte a qualquer ditadura , tanto as de direita quanto as de "" pseudo "" esquerda , que veem se tornando mais comuns mesmo depois de a queda de a URSS , esse livro não mostra uma história boa e feliz e sim um romanse tenso e cruel , muitas vezes sufocante , mas leva a uma reflexão profunda e a mim ajudou a reformular conceitos políticos .",1
"Enfim não vou dizer que Crepúsculo é uma bosta , porque eu gosto de Crepúsculo mais também tenho senso critico e sei que não é um livro muito bom .",1
Uma historia linda de garotos criados em a beira de o cais .,1
Não tem como não se identificar com ela .,1
"Kate pode ser inteligente , mulher de negocios , linda ... mas parece que nao tem coração , passa por cima de td e de todos por a Empressa !",-1
"A simples história de a garota que se apaixona por um vampiro pode estar cheia de defeitos , mas isso não influencia em quase nada .",1
"Muitos governantes , através de o medo , dominam o povo e controlam a história , conforme narrado em este livro surpreendente .",1
Amei e recomendo .,1
Leitura obrigatória e mais que recomendada !,1
Fabuloso !,1
Crepúsculo em si teve uma história interessante .,1
"O livro ERA MESMO para menininhas de 12 anos , virgens e inexperientes .",-1
"Recomendo o livro apenas para crianças que estão iniciando o hábito de a leitura , por ser curto e de fácil entendimento .",1
"Os personagens principais são muito mal desenvolvidos , interpreto isso que o autor queria colocar o foco em o ' todo ' , mas é um tanto quanto estranho acompanhar um grupo de personagens tão simples .",-1
Super recomendo !,1
Meu livro favorito !,1
Excelente livro !,1
"li rapidinho , facil , interessante , dei algumas gargalhadas e somente uma lagrima ... "" E então o leão se apaixona por o cordeiro "" .",1
""" O Apanhador em o Campo de Centeio "" é - apesar de os mais de cinqüenta anos desde sua publicação original - uma obra moderna , que levante questões típicas de a adolescência através de a voz encantadora de um menino dramático , que tenta superar a morte de alguém muito amado .",1
o que eu achei de o livro e maravilhoso e totalmemte sentimental cada palavra e situaçoês quere lemos em o livro e um história que eu ler e pude sentir tudo que estava lendo o que eu aprende com ele e que não inporta o que você er o fais se você amar tem que luta por esse amor masmo que nao valer apena em o final e algum que eu achei lindo em essa historia foi entao pouco tempo a familia cullan ja contruior aquele amor cuidadoso e amoroso coma a mocinha de a historia essa historia mim chamo atençao por ser tao parecida com a minha vida [ jessyka lwyza ],1
"O livro é espetacular , merece ser lido , ele te prende de o começo a o fim e você fica torcendo por a heroina mesmo sabendo que ela está errada .",1
"Mesmo eu gostando de Noelle achei o final fantástico , um livro pra sempre se recordar .",1
Só achei cansativa a leitura pois esta em português de Portugal .,-1
O livro é em o mínimo angustiante .,1
"Apesar de possuir um tema interessante para mim , o enredo de a história é lento e excessivamente melancólico , retratando uma personagem imbecilmente depressiva .",-1
"O final é até feliz , se você se importa com o personagem - não serei spoiller , não se preocupe .",1
Simplesmente Amei o livro muito bom !,1
"Uma lição de amor , amizade , paixão , companheirismo , em o meio de uma politica regional .",1
Que livro maravilhoso .,1
"Mas sem duvida é um livro de linguagem fácil e atual , o que é muito bom , por o menos pra mim .",1
OBS : Não é nenhum livro chato sobre política .,1
"O livro torna o leitor íntimo de as pequenas criaturas , cada uma de elas com suas carências e ambições - de o líder Pedro Bala a o religioso Pirulito , de o ressentido e cruel Sem-Pernas a o aprendiz de cafetão Gato , de o sensato Professor a o rústico sertanejo Volta Seca .",1
"Twilight me fez virar noite lendo relendo , sonhando com Edward , um vampiro em que todas nós sonhamos .",1
Incomoda ...,1
"De ele eu gostei de a primeira metade , em a qual a mãe de Malu é a narradora .",1
"A quem não leu o livro ainda , digo pra que não se deixe levar por a fama de a franquia em o cinema , o livro é maravilhoso , há suspense , há momentos engraçados , e principalmente romance .",1
"Jacob é uma vergonha como Lobisomem [ Ok , eu sei que ele não é REALMENTE um Lobisomem e tudo mais , mas mesmo assim ] .",-1
A o longo de o livro é repetitiva as falas onde Bella e Edward sempre ficam cheio de apego e chamego .,-1
"Como a história é leve , te prende de o início a o fim e você fica querendo ler o próximo ( já que é uma série ) para querer saber o desenrolar de o triângulo amoroso que se inicia quase em o final de o livro .",1
"Leitura obrigatória junto com "" Admirável Mundo Novo "" de o Aldous Huxley .",1
"Comecei a ler Crepúsculo com uma certa reserva , achei a história estranha quando ouvi falar de ela .",-1
Incrível .,1
Imprevisibilidade .,1
"engenhoso , vale a pena ler ainda mais se vc for mulher rs = ]",1
A melancolia feliz de o povo brasileiro .,1
"E sim o livro é bem melosinho , eu que não gostava de nada assim acabei me redimindo e me entregando a esse romance que contém aquela parte que ambos os sexos o nós todos bem sabemos "" A atração por aquilo que nos é negado "" .",1
"O grande diferencial de o livro , em o entanto , são as diversas camadas de leitura que ele proporciona .",1
"Um mundo muito bem construído por Orwell , uma metáfora que critica qualquer tipo de totalitarismo e fanatismo .",1
"É uma história que te deixa sem palavras , carregada de significados .",1
¬¬,-1
"A história tem um ritmo delicioso , além de os roubos espetaculares que são narrados !",1
Para quem se interessa por teorias políticas é uma leitura obrigatória .,1
"Então por mais que seja uma leitura simples , boba ... eu me apaixonei por essa história e já li mais de 5 vezes esse livro .",1
"É uma crítica social bem forte , a o mesmo tempo que é lírico e triste .",1
"É uma mistura de o real com o sobrenatural , mas o que mais me impressionou é o fato de ser uma história de amadurecimento de a personagem e sua coragem para viver a sua história de amor .",1
Se houver amanhã foi um de os livros mais empolgantes que já li .,1
"A o contrario de o filme , o livro me envolveu com sua história .",1
"Mas , para meu espanto , até que não foi tão ruim assim .",1
"Isso porque eu , particularmente , acho o casal um verdadeiro picolé de chuchu .",-1
Recomendado !,1
"Eu ainda fico impressionada como o livro não é exatamente novo , mas pode se inserir facilmente em nosso cotidiano atual .",1
"Eu adorei a personagem , ela realmente fez o que qualquer pessoa de carater fariA correu atras de quem a pois em a prisão sem ela não ter feito nada !",1
É um de aqueles que você não quer largar nem pra dormir .,1
"Discussões á parte , o livro deve ser lido por qualquer um que aprecia uma ótima literatuta com uma forte dose de política .",1
"Admito que o tema mexe com mim , mas a história , o estilo de Jorge Amado , são ; ; ; de tirar o fôlego .",1
"o começo de o livro é um pouco enjoativo , mas depois de algumas páginas o livro começa a prender o leitor de uma forma impressionante .",1
Os capitulos são de uma beleza incomum .,1
"Sim , concordo que a Bella é chata .",-1
Crepusculo e um livro que mexe com desejos e fantasias de os jovens .,1
"Este livro , sem sombra de dúvidas é um clássico de a literatura portuguesa .",1
"de este livro ñ tenho nem palavras , é d longe um de os melhores livros q ja li .",1
"Quando comecei a ler fiquei com um pé atrás por a historia ser em primeira pessoa( o que , geralmente , nao me agrada muito )mas para minha surpresa fui rapidamente envolvida por a trama e nao consegui parar até terminar a historia !",1
Crepúsculo poderia ser como qualquer outra história não fosse um elemento irresistível : o objeto de a paixão de a protagonista é um vampiro .,1
Clássico e atual !,1
Mas as vezes ela é ... descritiva demais .,-1
Recomendo !,1
"Apesar de ter achado um pouco chato em o começo , confesso que mudei completamente de opnião sobre este livro espetacular .",1
Que livro !,1
"Eu me identifiquei muito e , sem dúvida , "" O Apanhador em o Campo de Centeio "" é um de os livros de a minha vida !",1
Acho que esse eh o livro mais chato que ja li em a vida .,-1
A distopia descrita por Orwell é a o mesmo tempo assustadora e absurdamente compreensivel .,1
"Foi um de os livros que mais gostei de o autor e espero ter a oportunidade de ler o seus outro romances , principalmente O REVERSO DE A MEDALHA já que li a sua continuação , A SENHORA DE O JOGO .",1
"Definitivamente é uma leitura agradável , ainda que não seja a melhor de o autor !",1
"É um livro muito bom , com um vocabulário nem tão rebuscado , em o qual você consegue captar o que o autor quer que você entenda .",1
"Não é uma obra prima literária com certeza , mas Sidney Sheldon tinha um dom que poucos tem : ele sabia como contar uma história e principalmente uma boa história ... Este é um de os melhores livros que li em minha vida .",-1
"Acho que o que mais gostei em esse livro foi a honestidade bem crua mesmo , e meio ingênua até .",1
Um de os melhores livros q já li !,1
Um livro-fenômeno .,1
"Achei o livro engraçado , e releria , mas apenas por ser engraçado .",1
"O único ponto que achei negativo , é o fato de ter muitos palavrões !",-1
A narrativa é fluida,1
Ela consegue misturar romance com ação .,1
"O livro , de início , não empolga muito .",-1
"Não importa quantas vezes eu leia ( até onde eu me lembro foram umas 5 leituras ) , "" O Reverso de a Medalha "" sempre vai me prender e me deixar tensa até que eu chegue em o final .",1
Muito alem de a febre que esse livro se tornou ele é magnifico !,1
Não existem palavras que possam definir essa obra prima .,1
Excelente !,1
"Mas depois de repensar bastante sobre , acabei percebendo algumas coisas que o tornaram o cansativo .",-1
"Fala serio , amor narra de uma forma simples e pacata o começo de as descobertas mais esperadas de toda garota , Um livro feito para o publico jovem deveria , de fato , ser escrito com mais paixão , com mais emoção , com a inocência que se é perdida , de a cumplicidade que se tem com o garoto que você escolha pra dar seu primeiro beijo .",-1
Um clássico de os clássicos .,1
É o melhor livro q já li !,1
Um livro eletrizante ... duas mulheres que sofrem por causa de um mesmo homem ... isso não poderia acabar bem não é ?,1
"Pode não ser uma história cheia de emoções e lições de vida , porém pode proporcionar uma leitura agradável , talvez por conta de a facilidade a o ler .",1
Ameeeei a personagem Catharine .,1
Muuuuuuuuuuito bom !,1
Merecia um 10 se assim fosse possível .,1
"Achei a narrativa pobre , a história muito forçada e extremamente mal contada , os personagens "" murchos "" .",-1
Não se sai ileso de uma leitura como esta- e o resultado de a reflexão é algo que vale muito a pena .,1
Recomendo e muito .,1
"É engraçado , dinâmico e relata coisas que , de certa forma , todo mundo que já passou de os 20 , viveu .",1
Um ótimo livro para quem gosta de histórias voltadas a a realidade .,1
Assustador !,1
"Porém , eu achei as idéias originais , interessantes e válidas .",1
"É uma leitura fácil e o romance , infantil demais para mim mas , continuei porque há alguns questionamentos psicológicos para pensar depois .",-1
"O que chega a os dois únicos pontos negativos de o livro : 1º é a questão de que os capítulos são imensos , quase que intermináveis , o que deixa a leitura mais lenta , pesada , massante .",-1
"recomendo , mas para maiores de idade !",1
"Eu aconselho todos a lerem , pois eu o fiz muitas vezes e não me arrependo .",1
"Principalmente em a primeira parte de o livro , tudo é descrito a exaustão .",-1
"Assim , soma - se a a paixão um perigo sobrenatural temperado com muito suspense , e o resultado é uma leitura de tirar o fôlego - um romance repleto de as angústias e incertezas de a juventude - oarrebatamento , a atração , a ansiedade que antecede cada palavra , cada gesto , e todos os medos .",1
Por falar em fim é um de aqueles que só Sidney sabe fazer de deixar de boca aberta .,1
""" Capitães de a areia "" é batuta // hahaa",1
"Toda trama envolvendo Tracy Whitney , como a vida de ela mudou e como essas mudanças determinaram seu futuro .",1
E acabei devorando o restante de o livro .,1
"Mais o mais insuportavel comportamento de o pai de Malu foi de quando ela começou a jogar futebol , seu pai fala que isso não e coisa de menina é que ela esta errada , mais Malu e munto boa em o futebol e ensina ate para seu pai que mesmo que ela seja uma mulher ela pode ter os mesmo direitos e as mesmas abilidades para jogar futebou como um homem qualquer !",-1
Outro ponto genial explorado por Orwell é a guerra .,1
"Mesmo cortando as tramas , a gente se envolvia rapidamente em a outra e assim o livro seguia .",1
Leia .,1
Já li 3 vezes e recomendo !,1
"Mesmo tendo gostado muito de "" Ensaio Sobre a Cegueira "" devo admitir que não é uma leitura fácil , as pontuações livres e a falta de separação entre uma fala e outra e parágrafos muito extensos dificulta muito a compreensão de a obra , e por isso há casos em que tive que ler mais de duas vezes certas passagens para entender quem falava .",1
Só achei que o final podia ser mais ... Esse livro só me deu 1 problema : conseguir os outros livros de o Saramago para ler .,-1
Mas a revira volta de sua história acaba acontecendo de forma súbita e muito bem tramada .,1
Não é a a toa que é um de os meus favoritos .,1
Não suportei e interrompi a leitura .,-1
Muito maravilhoso esse livro .,1
"se alguem for ler , recomendo sem duvida .",1
Além de o mais não encanta só as meninas !,1
"amei esse livro , Stephenie Meyer consegue trazer todos os sentimentos de Bella com uma facilidade muito grande , vc acaba sentindo o mesmo , entra em a historia de uma maneira indescritível ... AMEIIIII",1
"A maioria de os personagens que são apresentados para nós são perfeitinhos demais , mas ainda acho que Crepúsculo é um "" conto de fadas meio-gótico "" então deixo essa hipótese de personagens perfeitos como um lado positivo e não negativo de a escrita e história .",1
"E se quis ler tanto assim , é porque o livro realmente diverte !",1
"Todos os personagens são carismáticos , desde Pedro Bala e Professor até Padre José Pedro e Pirulito .",1
Um de os melhores livros que já li .,1
"A idéia política de o livro é boa , mas o autor é muito repetitivo , o livro nao tinha nenhum gancho que prendesse a atençao .",-1
"Com todo o respeito a quem gostou , mas sinceramente não consegui entender o que faz esse livro ser considerado bom .",-1
"Uma espetacular viagem em o mundo criado por o grande Saramago , onde todos os humanos ficam cegos e ali enxergam como o ser humano é um ser vil por natureza .",1
"E em o final você ficará com ódio , pode ter certeza !",1
"Bela , em a verdade é paranóica demais .",-1
O livro possui uma narrativa cativante e - por o modo como os fatos e conflitos são apresentados a o leitor - surpreendente .,1
Recomendo !,1
Esse livro de Jorge Amadao é fundamental para compreendermos o comportamento de os jovens infratores .,1
A história de esse livro é terrível e maravilhosa .,1
"Um de os meus livros prediletos , quando você termina cada página não consegue ficar sem pensar em várias coisas que acontecem em o mundo .",1
recomendo !,1
"A trama é movimentada , abrange um longo período de tempo e três gerações de a poderosa família Blackwell em uma trama de muitas reviravoltas , como é característico de o autor .",1
Um livro que realmente vale a pena ser lido .,1
"O livro não foi tudo que eu esperava , mas acho que comecei a lê - lo com as expectativas erradas .",-1
PARECIDA apenas .,1
"Ele conta a estoria de 3 gerações cheia de altas e baixa mas que depois de tanta luta e determinação tudo dá certo , uma leitura apaixonante que te segura de o começo a o fim .",1
: ),1
Recomendo .,1
"Uma de as minhas heroínas preferidas , ela mostra como é importante não desistir , e que uma idéia criativa sempre é um bom caminho !",1
O livro mais bobo que já li .,-1
"Não deixou nada a dever , a ação e o romance foram muito bem preenchidos e temos um final divertido e com gostinho de quero mais .",1
; ),1
Apesar de toda a riqueza de detalhes e a elaboração de toda a sistemática impressionante de essa realidade Orwell consegue se destacar principalmente quando narra os diálogos e pensamentos de os personagens que enriquecem inteligentemente a trama e nos insere magicamente em o universo vivido por o protagonista .,1
Toda hora ele diz que algo o deprime e essa repetição é que deprime a gente .,-1
"A questão principal , a o menos em minha opinião , que torna 1984 tão marcante , é a idéia de que tudo aquilo que Orwell conta poderia muito bem acontecer em a realidade .",1
"O que mais gostei foram os roubos , realmente , muito bem contados , geniais , ousaria dizer .",1
Tenho que ser coerente e dar 5 estrelas pois me senti totalmente envolvida em a história .,1
Uma bela reflexão sobre o ser humano e suas limitações .,1
"Trama cativante e um livro muito gostoso de ser lido , realmente te prende de o início até o fim !",1
Simplesmente maravilhoso .,1
É viciante !,1
"A narrativa é legal A maneira que é conduzida tb Mas confesso que espera um desfecho melhor Aguardada tanto para saber o que ele iria fazer de a sua vida Não gostei de as suas escolhas , a personalidade de ele fez - me pensar que Ele ira mais além .",1
"Minha nota é 10,0 *-*",1
A historia e muito boa e contada de uma maneira muito interessante .,1
"O primeiro é enfadonho , apenas uma longa e detalhada descrição de a realidade em a qual o personagem está inserido e algo sobre ele .",-1
Bom particularmente como admirador de histórias de vampiros achei extremamente fraco .,-1
"Acredito que ele não pode ser considerado livro porque não passa de uma idéia repetitiva , cheia de clichês e partes surreais e que se torna mais obsessivo e menos interessante com o passar de o tempo .",-1
"Este livro faz parte de o triunvirato particular de obras fundamentais a a minha personalidade , junto com "" Ulisses "" ( James Joyce ) e "" Musashi "" ( Eiji Yoshikawa ) .",1
"Sem dúvida , Tracy é a heroína mais espetacular de a literatura , pq suas armas são : inteligência e beleza .",1
"Em o entanto , é um livro atemporal , de se abrir mentes !",1
Perfeito !,1
A forma com que Gerorge Orwell descreve uma visão de o futuro baseado em os sistemas totalitários de poder é simplesmente fascinante .,1
"Comecei a leitura com um grande preconceito de a história , mas com o desenrrolar de o livros as palavras e a história de Jorge Amda conseguiu me cativar de um jeito que eu não esperava .",1
"A pesar de tudo isso , poucos notam que Bella é sem duvida uma de as personagens mais corajosas e determinadas que existem .",1
"Em Fala Sério , Pai o pai de Manu começa narrando o que é super legal pois vemos o ponto de vista de ele em relação a vida de Manu , aprendemos que as vezes é necessário que nossos pais digam não pra nós , vimos como a relção de eles dois é bastante aberta .",1
"Além de isso , em uma passagem brilhante de o livro , um de os capitães , Pirulito , o mais religioso de eles , encerra um dilema diante de uma imagem de o menino Jesus em uma loja .",1
Com a criação de um futuro extremamente controlado George Orwell nos prende a uma leitura rica e de muito aprendizado .,1
"Com uma leitura agradável e a o mesmo tempo chocante e perturbadora , 1984 em os dá a impressão de não estarmos longe de tamanho caos .",1
"Infelizmente os tais capitães de a areia , como eram chamados há quase um século , se multiplicaram por as metrópoles urbanas e já não são mais tão românticos e divertidos quanto os personagens de este livro .",1
Suas longas e idênticas descrições de a beleza de Edward chegam a cansar os olhos .,-1
"Sou fã incondicional de os livros de o Sidney Sheldon , mas de todos , este sem dúvida é o melhor .",1
"Como disse em o título , o início de o livro não anima muito , pareceu bastante arrastado .",-1
"Bom não tem como descrever tudo o que o livro aborda , mas com certeza qualquer um que leu ou vai ler ficará triste quando chegar a o fim .",1
Não é uma obra prima - e duvido que Stephenie Meyer tivesse esta pretensão - mas é um livro interessante para ler em um dia de folga .,1
Gostei muito !,1
"O livro em minha opinião é bem interessante para uma leitura casual , ou até mesmo uma discussão entre amigos .",1
"Me emocionei com todos os garotos e seus sonhos , todos mesmo .",1
Há poucos acontecimentos relevantes .,-1
Stephenie Meyer soube fazer excelente uso de este recurso .,1
Leia !,1
"Eu li Crepúsculo há uns 3 anos , é claro que me tornei fã em a hora .",1
Pois perdi meu tempo e não o terminei .,-1
Até que me arrancou algumas risadaa .,1
Um de os melhores livros que eu já li !,1
"Pensei em ler somente este livro de o autor porque era o mais bem comentado e muito elogiado , mas ele me cativou , conquistou , por a riqueza de informações que dá em a obra , sobre o mundo e suas coisas , sobre as pessoas , e de uma forma muito bem escrita e cativante , envolvendo suspense e situações fortes mas envolvendo coisas de o mundo em suas diversas áreas , o que dá o tom de poderem sim ter o tom de verdadeiras ( em o vasto mundo , ou então tirando - as pras coisas comuns ) ; então me deu um querer de conhecer outras obras futuramente , os títulos de as outras obras são bastante sugestivos , como "" Lembranças de a meia-noite , "" O outro lado de a meia-noite "" , "" Manhã , tarde e noite "" , "" Nada dura para sempre "" ... ; acho que pode ser uma leitura muito boa de se ter , além de ser uma leitura "" bem gostosa "" , realmente ( pra um momento de "" retomada "" a os livros , então !",1
FAN-TÁS-TI-CO !,1
"Vampiro bonzinho pra mim não dá , não dá mesmo .",-1
Sou fã número um de a Tracy Whitney e de o charmoso Jeff Stevens .,1
Prende a atenção desde o primeiro parágrafo .,1
"O livro conta com o Posfácio que enriquecem muito a leitura e nos fazem perceber melhor um pouco mais de a história , funcionaram pra mim como um resumo de o livro !",1
Recomendo fortemente .,1
Foi a primeira vez em a vida que me deixei levar por a capa de o livro e por a divulgação e acho que nunca me arrependi tanto em uma compra .,-1
É possível deixar de amar Edward ?,1
"Me surpreendi bastante , tem uma história interessante e com um gostinho de quero mais .",1
"O livro é muito água com açúcar , não acontece nada com nada , só o romance que é MUITO gostoso rs mas fora isso não acontece nada .",-1
"O livro embora antigo , é atual .",1
"Ri e me emocionei muito com o livro , e , como aconteceu quando li Fala Sério , Mãe , acabei o livro com aquela vontade apertada de reuniar todas as minhas amigas pra matar a saudade !",1
Gostei muito .,1
"Eu já queria ler esse livro fazia algum tempo por ouvir falar o quanto ele era bom , só que eu me decepcionei , por mais que a história seja muito boa se bem analisada , o livro é cansativo já que a todo o momento o personagem principal narra toda a história de ele de forma negativa .",-1
O enredo se resume a os mesmos fatos bobos e a história não desenrola .,-1
Este é um de os melhores livros que já li .,1
Ele é um boçalóide metido intelectual .,-1
Por várias vezes pensei em abandonar .,-1
"Eu amei esse livro , não conseguia parar de ler *__* Vc se envolve de uma maneira com os pias de o Capitães de a Areia , cada um tem sua história em especial que cativa mesmo o leitor .",1
Esse é o livro que eu releio por o menos uma vez por ano !,1
Não tenho palavras para descrever esse livro .,1
"Porque é simplesmente poesia , uma poesia triste que se desfarça de alegre .",1
"A trama é divinamente contada e desenvolvida , em os deixando aquele gostinho de quero mais .",1
"A possibilidade efetiva de a hipótese , ainda que remota , é assustadora , tornando a obra ainda mais intensa e definitiva .",1
"Tudo que Jose Saramago escreve é bom , mas este livro mexeu com emoções , valores ... vale a pena de verdade .",1
"Um livro que entristece , choca e permanece em a memória .",1
"Segundo , a metade final de o livro é incrível , simplesmente maravilhoso !",1
Mas em algumas horas me identifiquei com ele .,1
"Não recomendo - a não ser que você assumidamente tenha a mentalidade de uma garota de 12 anos ( ou menos , dependendo de o caso ) .",-1
Vale a pena ler essa obra magnifica que te prende de o começo a o fim .,1
"adoreii , realmente SIDNEY SHELDON soube dispertar emoções em esse livroo ! ...",1
1984 é de corpo e alma um livro político .,1
É bom .,1
Gosto muito de alguns personagens ( especialmente o Dr. Carlisle e o Charlie ) .,1
"A segunda barreira é que Saramago escreve com poucos parágrafos , o que A as vezes torna a leitura um pouco cansativa , os diálogos são indiretos , mas não atrapalha em nada a historia , de a pra entender perfeitamente as discussões , mesmo sem travessão , você percebe quem ta falando o que .",-1
"Recomendo , nota 10 .",1
O livro é bem escrito e de leitura fácil .,1
"Quando se começa a ler , não dá mais vontade de parar .",1
Para mim esse é o melhor livro de Jorge Amado !,1
Lindo e emocionante .,1
"Apesar de todas as críticas , Crepúsculo não é um livro de todo , ruim , é apenas mediano , de aquele que não fica em a memória muito tempo após se ler , sabe , aquelas histórias que você esqueceria , se não fosse por o exageiro "" uma marco em a literatura infanto-juvenil . """,1
"Foi o primeiro livro de Sidney Sheldon que eu li , amei a história !",1
