text,label
"Comprei o produto pra chegar até dia 28/12, e até agora não recebi. Decepção total. Diante disso depois que receber avalio o produto.",-1
"Deixa o cabelo hidratado e muito cheiroso, ja usei 3 potes",1
Excelente produto recomendo para todos além de sempre os produtos da Americanas sempre são entregue antes do prazo,1
"É um bom produto, comprei por ser palatável e eu ter um gato que não aceita comprimidos com gosto ruim. O produto é eficaz e foi entregue dentro do prazo.",1
Gostei muito deste smartphone tem várias opções bem atualizado...a TV imagem perfeita recomendo,1
Chegou direitinho e antes do prazo.  Pesquisei muito e foi o melhor preço que encontrei. Valeu a compra!!,1
"Dentro do prazo, em perfeitas condições. Umas das melhores aquisições via internet.",1
#SuperIndico #LojasAmericanas #FicaaDica fundamental em uma viagem,1
"Amei meu celular, câmera top de linha, bateria super duradoura, carrega rápido! E a entrega em 7 dias... Sem palavras, tô muito satisfeita!",1
Minha filha amou!! É seguro e ela só tem 6 meses e fica sentada bonitinha. Ela ama.,1
deixa o cabelo maravilhoso lisinho. recomendo! entrega super rapida,1
Além do design muito bonito é uma excelente ferramenta na cozinha da mulher que trabalha fora e precisa de rapidez em suas receitas. Recomendo muito. Prática... bonita e funcional.,1
"Recebi o produto errado, não foi esse produto que pedi.",-1
"Vejo alguns comentários sobre o produto, porem não obtive a mesma sorte, veio faltando parte que faz o pe do rack, a parte de cima veio faltando peças nao tem como montar o produto, a entrega foi péssima pois tive que carregar o produto.... infelizmente não posso recomendar a empresa que enviou o produto",-1
Produto e excelente! Recomendo! Não trava facilitar melhor meu dia a dia!,1
"Livro exelente, autor exelente !!!! A entrega do produto foi feita bem rapido e antes da data prevista!",1
Eu goste do produto. Smartphone bom. Recomendo a todos.,1
"Comprei este tênis pois gostei da cor, que seria um diferencial para o estilo de tênis que eu estava procurando. Ocorre que a cor laranja do tênis que recebi não é como esta da foto e sim um laranja ""fosforescente"", horrível. Não tenho coragem de usar esse tênis e iniciei o contato com a loja para devolvê-lo, porém as Americanas não está cumprindo com os prazos prometidos, para me dar informações sobre como proceder com a devolução. Insatisfação dupla (produto e loja).",-1
"O parelho é muito bonito, leve e prático, atendeu as expectativas.",1
"- Lamento profundamente pela falta de profissionalismo do entregador dá DIRECTLOG, Minha esposa foi quem recebeu o produto (Devido Eu, estar no trabalho) e ela pediu para conferir o produto antes de assinar ( A PEDIDO MEU) para que não tivesse nem uma surpresa desagradável... Ao pedir, o então entregador que nem vestido com uniforme para se identificar..trajando uma blusa REGATA, BERMUDA E CHINELO.... Virou e -DISSE ''SE TIVER UM TIJOLO AÍ DENTRO TENHO NADA A VER NÃO, SOU APENAS ENTREGADOR...EM TOM DE IRONIA E DEBOCHE...E MINHA ESPOSA FALANDO QUE IRIA CONFERIR ( QUE É ALGO DE COSTUME) ELE CONTINUOU DIZENDO, SE TIVER DANIFICADO LIGA PRA EMPRESA, TENHO NADA A VER COM ISSO N E SAIU RINDO E DANDO AS COSTAS.   LAMENTO PROFUNDAMENTE PELO OCORRIDO E CONFESSO QUE PERDERAM UM CLIENTE DEVIDO A TAL FALTA DE CORDIALIDADE DO ENTREGADOR E ESPERO TER UM RETORNO A RESPEITO DO RELATADO A CIMA.",-1
"Quase não esquenta, não pensei q fosse tão  inferior.",-1
"Achei um bom custo x benefício. É leve, tem um som legal, boa câmera com alguns recursos. É bem fluído. Pelo preço, estou bem satisfeita.",1
"comprei no site das americanas e dizia que era 9 dias uteis, para entrega....so que no aplicativo da dizendo que ta previsto para o dia 13/03/2018...nao vou pagar 54,00 reais para receber depois de 9 dias uteis...",-1
"Sabe a expectativa em receber o produto, então (...) Passei por ela e mais alguns dias após o prazo pra saber que o produto não seria entregue.",-1
"Deixei de comprar este celular porque não dá para usar os dois chips e o cartão de memória juntos. Ter que tirar o cartão de memória para usar o segundo chip da segunda operadora é muito ruim, um celular desse tipo é um falso dual chip. Não recomendo.",-1
com essa quantidade de coletores não dá para aquecer uma piscina de 40m3.,-1
"Excelente esponja em tamanho reduzido para aplicar corretivo na área das olheiras, funciona ainda melhor molhada!",1
"Produto de ótima qualidade eu recomendo,ficou lindo no meu carro",1
Não recebi a mercadoria comprada e peço o imediato cancelamento,-1
"As panelas são muito leves, o revestimento e fino e veio descascado na panela maior. Não funcionam em fogão de indução o que não consta informações na descrição do produto. O preço não condiz com a qualidade. Já solicitei devolução assim que abri a embalagem. Decepcionada.",-1
"o produto cumpre o que promente, e a entrega foi antes da previsão.",1
Ótimo .. .  . . .. . .... . ............ ............. ............. ........ ......... .......,1
"Os dois relógios não funcionaram (Cartão SIM inválido), entrei em contato com o representante do produto, pediram para eu enviar os 2 produtos para troca, acabei de receber hoje mas enviaram 1 só. Testei o produto e continua com o mesmo defeito. Testar com todos os nossos chip SIM (3 chip que usamos em nossos celulares e 2 chip novos que comprei para usar nos relógios), porém o defeito contínua (cartão SIM inválido).  Tivemos um gasto de R$158.51 fora todo o transtorno e tempo perdido no correios, além de que compramos o presente para nosso filho que tanto queria e acabou nem usufruindo porque não funciona. Compramos o relógio também com a intensão de manter contato com nosso filho via ligação mas sem susesso lamentável.",-1
"1. Vieram com cores diferentes. Na foto são branco, preto, marron e bege. Recebi amarelo, vermelho, branco e azul.... 2. Pedi tamanho G. Uma delas veio GG. 3. Ao lavar, saiu muita tinta, inclusive na segunda lavada.  Conclusão: me arrependi de ter comprado. As Americanas decepcionam ao ter um fornecedor desses...",-1
"desconfio desse produto, o valor e bem abaixo do normal.",-1
Gostei muito do produto. Recomendo com ctz Produto bom e bonito,1
"O produto foi entregue antes da data prevista e em bom estado. Ainda não utilizei todas as funções do micro ondas, mas está funcionando perfeitamente.  Recomendo.",1
"Porcaria de site e atendimento ao cliente, fiz a compra início de maio com prazo de entrega 15.05 porém nao recebi, hoje fui no correio retirar quando abri a caixa tinha PEDRAS dentro e nada do aparelho, entrei em contato com AMERICANAS e nao deram solução alguma a nao ser cancelar o pedido.Fiz o cancelamento mas o estorno sera feito em ate 10 dias....descaso com o cliente, nao se deu o trabalho de localizar onde foi extraviado e me dar uma solução de imediato.Nunca mais adquiro nada dessa loja",-1
"Recomendo esse produto, por ser um preço nao muito alto, nao se engane, produto muito eficaz, recomendo para que  esta com  interesse ou duvidas em compra-lo, fora que a entrega foi ate bem antes  prazo...Americanas e os demais estão de parabéns!!!",1
Um excelente custo benefício! Preço acessível e com ótimo desempenho!,1
O valor está correto? Por este valor eu compro o kit em outros sites.,-1
"Este produto e uma das piores coisas que existe , isso não moe nem goiabada!!!! me sentindo frustado. Deixei uma sugestão para o site da loja, para que eles exijam de seus parceiros videos de demonstração dos produtos. Não comprem nenhum tipo de moedor pois são todos a mesma coisa!!!",-1
"Gosto muito desse purificador ,é o segundo aparelho que compro,o primeiro acabou de velho",1
"acho mto ruim comprar pelo site, pois não tem como ver a mercadoria e qndo chega com esses defeitos não temos o que fazer, e mais a espera, qndo comprei dizia que levaria 10 dias para chegar, levou quase 25 dias... fiquei mto insatisfeita com a compra.",-1
"Foi um presente, mas a pessoa adorou. Achei inicialmente que era muito grande, mas fica realmente otimo na cafeteira",1
"Produto de péssima qualidade fabricado com plástico duro que quebra ou deforma facilmente. Não encaixa perfeitamente ao porta malas do Civic 2017, sobrando muito espaço sem preenchimento. Por ser de plástico rígido sem qualquer emborrachamento, qualquer material que você transporte fica batendo e escorregando... PÉSSIMO!!! NÃO RECOMENDO NEM POR 10 REAIS.",-1
"O aparelho superou minhas expectativas! Lâminas super afiadas, aaprelho de fácil empunhadura.",1
Gostei muito do produto e o recomendo aos interessados em pedalar,1
"Sim, é isso mesmo (desejado).  Quando mostrei para as minhas cunhadas; acharam lindo na   cor topázio.  Dei a dica: liguem para a americanas!",1
"Adorei, ótimo livro! Recomendo para todos, fácil leitura, texto formidável!",1
AVALIAÇÃO BOA RECOMENDO O PRODUTO CHEGOU NO TEMPO PROGRAMADO,1
"Como vou comprar um produto que não possui dimensões  de tamanho, impossível",-1
"na embalagem do produto na foto diz: para cabelo normal a fino, seco e danificado! também tem o produto só para cabelo fino, eu quero o que está descrito na foto, mas tenho receio de comprar e ser o da descrição abaixo, resolvam  isso.",-1
software Ruim Android.  não carrega direito.  App péssimos.  os demais de canais e outras entradas funcionam a  contendo,-1
"Chegou rápido antes do prazo dado,muito bom, valeu a pena fiz  uma ótima escolha.",1
produto muito bom atende as expectativas entrega super rapida,1
"Produto de excelente qualidade, fácil configurações e bonita. Sem falar na rapidez da entrega é o preço.",1
"Entrega rápida, produto muito bom Amei. Praticidade",1
"Gostei muito do produto. Pensei que usaria mais a função Mixer, no entanto a praticidade do processador me impressionou. Muito eficiente, prático e fácil de lavar. Uso todos os dias. Excelente!",1
"Não recomendo  descascam muito rápido,ficam queimadas por fora.",-1
O botão de rotatividade é péssimo. Nao funciona direito,-1
um cd  com  em  formacoes  comfusa   nem uma enformacao para para baixa o aplicativo  correto uma decepicao,-1
HORRÍVEL. UMAS DAS PIORES COMPRAS. DESFIADA E COM FURO. VERDADEIRAMENTE O BARATO SAI CARO NESSE CASO.,-1
Produto ótimo recomendo  ótimo produto nota 10 boa qualidade,1
Como posso avaliar um produto que não chega. O praso da entrega ja passou faz e tempo e vocês não me dão nehuma resposta.,-1
Se não entrega para que colocar a venda !!deveriam rever está questão !,-1
"Excelente produto, tomo 1 capsula ao dia e nunca mais tive crises de gota, acido úrico.além disso posso comer sem restrições de alimentos, posso comer de tudo, graças a esse maravilhoso óleo de Copaíba.",1
TUDO CERTO. TUDO CONFORME O ESPERADO! BOA QUALIDADE E ENTREGA FEITA NO PRAZO CORRETO.,1
"Só pode estar errado este preço. Não existe capacete tão caro. Deve passar e lavar, e fazer todo o serviço de casa.",-1
Funciona perfeitamente. É muito leve e compacto. Tem o tamanho de um celular com tela 5.5.,1
Poderia pelo menos ser pintada ela vem da cor do plástico.,-1
"Produto muito fraco, o peso fica variando e demorou muito a entrega.",-1
O modelador de cachos comprei como marca Baby Liss e me enviaram outra totalmente diferente. Não foi a que solicitei.,-1
"Comprei este Tablet na sexta feira  dia 20/04/2018, efetuei o pagamento no mesmo dia. Porém, hoje entrei na minha conta para verificar o status da compra e os detalhes da entrega, mas o seguinte texto aparece la: e ""Você não efetuou  nenhuma compra conosco"" ou ""Você não efetuou nenhum pedido"". Tenho o comprovante de pagamento em mãos, quero um esclarecimento da situação. Aguardo  (Avaliei ""REGULAR"" somente para conseguir entrar em contato para resolver o problema, esta não é minha avaliação real do produto).",-1
