text,label
joca tá com a corda toda 😂 😂 😂 😂,1
O SBT gosta de me iludir eu q pensava que o DL ia ser esticado hoje 😢 pede pro silvio esticar USERNAME,-1
pátricia abravanel não faria festa de casamento já fábio faria 👰,1
O douglas fala igual aquele meme do tiranofauro,-1
arrasada que victor saiu dessa maneira #MasterChefBR,-1
amei rever o cenao da preta dando a luz a seu filho raí,1
essa prova de eliminação está muito tensa mds,-1
hoje o foi maravilhoso ❣,1
cade a sophia gente,-1
ola voces tem um clip raul seixas cantando maluco beleza,1
USERNAME gostaria muito de ver o gavin USERNAME no ele é americano ama nosso país e tem um canal incrível no youtube,1
liverpool arena VAI CORINTHIANS,1
se uma segunda opinião fosse boa exame de próstata era feito com NUMBER dedos,-1
ONTEM FOI LEGAL,1
programa chato,-1
chega deu dor de cabeça de nervoso USERNAME,-1
se o lindo USERNAME sair eu nem sei viu,1
acho q não seria justo victor B ser eliminado foi um acidente e todos estão sujeitos a isso na cozinha,-1
hoje não trabalharei por motivo de LUTO faz tempo que luto contra a preguiça !,-1
uhuuul amanha não perco com #FatimaBernatdes nem por decreto hehehehe minha USERNAME vai brilhar na telinha #SandyNoEncontro 😍,1
USERNAME USERNAME queremos você também no e #Eliana,1
imagens lindas e fotos belíssimas do casamento de USERNAME,1
USERNAME ADOOORO as gagas de ilhéus 😂 😂 😂 😂 😂,1
USERNAME O meu chegou amigo mas não tinha dinheiro pra passagem kkk,-1
que dó do victor gente 💔 gosto do bixinho #MasterchefBR,-1
acho que nunca fiquei tão mal vendo um ep de masterchef,-1
nossa pqp tô chorando junto com o vitor,-1
O pedro é muito lindo ❤,1
otaviano dançando carimbó essa eu quero ver,1
essa diversidade de ingedientes do pará é espetacular,1
já já 📺 #NasNovelasDaNoiteSBT #CarinhaDeAnjo122 😍 #Chiquititas171 💙 logo mais #ProgramaDoRatinho #CineEspetacular USERNAME,1
VIDEO SHOW TA CHATO HOJE 🌚 👐,-1
USERNAME USERNAME gosto dos dois #ProgramaDoPorchat 😉,1
por favor convide #SamAlves no de USERNAME USERNAME agradeceria muito ver novamente meu ídolo nesse programa,-1
O já foi extremamente melhor,-1
silvio e pedro de kipá ❤ ❤,1
#VídeoShowAoVivo achei que hoje o vídeo show estaria como sempre bom MAS TA CHATO mesmo,-1
cuecão de couro hahaha,-1
tá foda hoje tadinho do vitor ele merece uma segunda chance,-1
nem acredito que ele foi embora coitado,-1
precisando ir pra belém urgentemente #MasterChefBR,1
É inevitável eu não fazer um lanchinho depois do até tento mas não dá,1
linda decoração,1
cadê a graça #DomingoLegal,-1
A patrícia merece toda essa felicidade ❤,1
esses colunistas do UOL adoram o SBT me poupe darem destaque para o esdrúxulo mau gosto define,-1
ainda bem que tem canal multishow pra poder rever USERNAME em com os melhores USERNAME e USERNAME ❤ ❤ ❤ ❤ ❤,1
aqueles olhos eram hipinóticos eles se fixaram em mim quase como estivesse examinando minha alma,1
tava reprisando uma esquete do pit bicha ( @tomcavalcante1 ) no ninguém nunca reparou que ele era bem misógino,-1
;( RT USERNAME ;( RT USERNAME até a flor está com um bofe e nois aqui forever alone tá fácil não,-1
